index,BAL,TBR,BOS,NYY,TOR,MIN,DET,CHW,KCR,CLE,LAA,OAK,TEX,HOU,SEA,LAD,SFG,ARI,COL,SDP,MIL,STL,CHC,CIN,PIT,NYM,WSN,ATL,PHI,MIA
115,3.6,6.3,6.1,5.5,3.3,4.4,3.9,3.7,4.5,5.3,4.1,4.3,4.1,4.9,3.9,4.3,3.9,4.3,4.7,3.5,5.3,4.7,3.5,4.9,3.8,3,4.3,5.3,3.5,4
116,4,6,6.7,5.1,3.3,4.7,3.4,4.4,4.5,5.5,4,3.3,4.2,5,4.3,4.4,3.7,4.7,4.9,3.2,4.7,4.5,3.9,4.9,3.6,2.7,4.3,4.8,3.8,4.1
117,4.1,6.1,5.6,4.7,3.5,4.6,3.2,4.9,4.5,5.1,3.6,3.1,4.5,4.6,4.2,4.3,3.4,4.3,4.9,2.8,3.8,4.1,4.8,4.5,2.7,2.7,4.4,5.2,4.2,3.7
118,4.2,6.5,5.9,4.9,3.1,4,2.9,4.6,4.2,5.1,4.2,2.7,4.6,4.8,4.3,4.2,3.4,4.1,4.9,3.1,3.9,4,5,4.1,2.9,3.3,4.7,5.1,4.3,3.1
119,4.5,6.8,5.7,5,3.1,3.7,2.7,5.3,4.2,5.2,4.6,3.1,4.4,4.4,3.9,3.6,3.2,3.9,4.9,3.1,3.7,4.1,4.4,4.1,3,3.2,4.7,4.5,4.8,2.9
120,4.4,6.3,4.7,4.9,3.5,3.4,2.5,5.2,4.1,4.9,4.8,3.3,4.7,4.3,3.9,3.7,2.9,4.1,5.1,3.4,4,4.9,4.3,3.7,3.1,3.1,4.1,4.3,5.1,2.7
121,4.5,5.7,4.6,5.1,4.1,3.5,3.1,5,4.4,5.1,4.8,3.9,4.7,4.6,3.8,3.7,3,3.9,5,3.6,4.2,4.3,4.5,3.1,3.3,3.4,4.1,3.9,5.2,2.8
122,5.1,5.5,4.6,4.9,4.4,3.3,3.3,4.9,4.5,4.9,4.5,4.4,4.3,4.3,4,3.2,3.1,4.2,4.8,3.3,3.9,4.7,4.5,3.8,3.6,3.7,4.1,3.9,5.2,3.5
123,4.9,5.7,4.9,4.9,4.7,3.3,4.3,5.3,4.6,4.7,4.5,4.6,4.7,3.7,3.9,3.3,3.1,4.1,4.7,3.1,3.9,4.5,4.8,4.1,3.7,3.9,4.1,3.6,5.2,3.1
124,5.3,5.7,5.3,4.3,4.9,3.5,3.9,4.9,4.2,4.5,3.9,4.3,4.3,3.5,4.4,3.4,3.1,4.2,4.5,3.6,4.1,4.4,4.8,4.1,3.9,4.6,4.2,4,5.8,3.2
125,5.4,5.9,5.1,3.9,5.2,3.7,3.9,5,3.9,4.3,3.8,4.2,4.3,3.6,4.5,3.5,3.6,4.3,4.5,3.5,3.9,4.5,5.4,3.9,4.3,4.6,4.2,4.2,5.3,3.3
126,4.7,6.1,5.4,3.7,5.4,3.3,4.1,5.1,4.5,3.8,4,4.5,4.3,3.9,4.3,3.8,3.9,3.9,4.5,3.3,3.4,4.5,5.5,3.6,4.1,4.7,4.3,4.1,5.5,3.1
127,4.3,6,5.5,3.7,5.1,2.7,3.9,5.1,4.5,3.6,4.3,4.5,4.5,4.3,4.5,3.7,4.1,3.9,4.6,3.6,3.6,4.1,5.7,3.7,3.9,4.8,4.3,4.5,5.4,3.3
128,4.7,5.8,5.3,3.4,5.8,2.9,3.9,5,4.5,3.5,3.7,5.1,4.7,4,4.5,3.5,4.3,4,4,3.3,3.6,4.3,5.5,3.5,4.1,4.8,4.4,4.7,5.1,3.3
129,4.7,5.9,5,3.4,6.3,3.3,4.5,5.5,4.1,3.2,3.6,5.1,4.7,3.9,4.5,3.4,5,4.1,4.5,3.5,4.2,3.5,5.3,3.7,4,5.3,4.7,4.5,5,3.5
130,4.6,6.1,4.4,3.7,7.7,3.1,4.5,4.9,4.2,2.9,3.6,5.1,4.6,4.5,4.3,3.6,5.1,3.9,4.4,3.3,4.4,3.8,4.9,3.6,3.9,5.7,4.8,4.9,4.8,3.2
131,4.5,5.3,4.7,4,7.7,3.3,4.9,4.4,4.7,3.4,3.8,5.4,4.3,4.5,4.5,3.8,5.7,3.6,4.4,3.3,4.9,4.1,4.3,3.2,4.3,5.9,4.5,4.5,4.5,3.4
132,4.5,5.1,4.5,4,7.6,3.2,4.9,4.5,5.2,3.1,3.3,6,4.1,4.7,4.5,4.1,6,3.9,4.5,3.1,4.5,4.5,4.3,3.5,4.4,5.3,4.7,4.5,4.5,3.1
133,4.4,4.7,4.4,4,7.7,3.5,5,3.9,5.1,3.5,3.4,5.9,3.9,5.5,4.5,4.3,6.3,3.8,4.5,3.5,4.3,4.9,4.5,3.7,4.3,5.5,4.7,4.7,4.8,3.5
134,4.3,4.9,4.9,3.9,7.1,3.7,4.9,4.1,5.1,4.1,3.3,5.8,3.6,5.7,4.7,4.5,6.4,3.7,4.5,3.5,4.5,4.1,4.9,3.7,4.2,5.5,5.1,4.5,4.6,3.5
135,4.2,5.4,5.1,4.1,6.9,4,4.7,3.8,5.2,3.5,3.3,5.5,3.6,5.6,4.7,4.3,6.5,4.1,4.6,3.5,4.5,4.6,5,3.6,4.3,5.3,4.5,4.3,4.7,3.5
136,4.1,5.3,5.4,4.1,6.7,3.9,4.5,4.1,4.8,3.5,3.2,5,3.7,5.9,4.7,4.5,6.4,3.9,4.3,3.4,4.7,4.6,4.9,2.9,4.3,4.7,4.4,4.8,4.7,3.3
137,4.1,4.5,5.7,3.7,6.4,3.7,3.7,3.7,4.9,3.7,2.9,4.6,3.4,6.4,4.5,4.6,6.3,3.9,4.1,3.7,4.6,4.7,4.9,2.9,4.2,4.7,4.5,4.8,4.5,3.6
138,3.7,4.6,5.7,4,6.3,3.9,3.7,3.9,4.9,3.9,3.1,4.7,3.2,6.3,4.1,4.7,6.3,3.6,4.7,3.3,4.4,5.2,4.7,3,4.1,4.1,4.7,4.8,3.9,3.5
139,3.3,4,5.9,4.4,6,4.1,3.7,3.9,4.8,3.9,3.4,4.6,3.2,6.6,4.3,4.7,6.2,3.5,4.7,3.5,4.1,5.4,4.3,3.1,4.1,4.2,4.8,4.5,4.1,3.5
140,3.5,3.7,6.3,4.7,5.7,4.3,3.6,4.1,4.5,3.7,3.3,4.6,2.7,6.4,4.4,4.7,5.8,3.8,4.6,3.9,4.5,5.8,4.3,3,4.3,3.7,4.7,4.7,4.7,3.4
141,3.5,4.1,5.9,4.9,5.6,4.5,3.8,4.1,4.1,4.1,3.3,5.3,2.9,5.9,4.3,4.7,5.8,3.6,4.5,3.4,4.1,6.5,4.4,3.3,4.2,3.7,4.8,4.9,5.1,3.4
142,3,4.3,5.6,5.1,5.3,4.3,3.5,3.8,3.9,4.2,3.9,4.8,2.5,5.8,4,4.7,5.9,3.8,4.3,3.9,4,6.6,4.5,3.7,4.3,3.8,5,4.7,5.1,3.4
143,3.1,4.1,5.7,4.9,4.9,3.8,3.3,3.6,3.9,4.5,3.7,4.7,2.7,5.8,4.1,4.7,5.3,3.3,3.9,3.9,3.9,6.7,4.5,4,3.7,3.5,4.7,4.6,4.7,3.1
144,2.9,3.8,5.6,5,3.5,3.8,3.3,4,4,4.6,3.8,4.7,2.9,5.1,4.7,4.5,5.3,3.3,4,3.9,3.8,6.7,4.7,4.6,4.1,3.1,4.6,4.7,4.5,3
145,2.8,4.2,5.4,4.9,3.4,3.8,2.9,3.9,4,4.1,4.1,4.4,2.5,5,4.7,4.7,4.7,3.2,4.3,4.5,3.3,6.2,4.5,4.7,3.9,2.8,4.7,4.8,4.5,3
146,3,4.2,5.5,4.9,3.5,4.2,3.5,4.1,3.4,4.5,4.3,3.7,2.9,4.7,4.7,4.9,4.7,3.2,4.6,4.6,3.5,5.7,4.7,4.4,3.5,3.6,4.5,4.9,4.3,3.1
147,3.1,4.3,5.5,4.8,3.5,4.2,3.3,4.5,4,4.4,3.8,3.8,3.2,4.3,4.5,4.9,4.5,3.5,4.5,4,3.9,5.5,4.6,4.3,4.1,3.5,4.2,4.9,3.5,2.5
148,3.1,4.7,5.3,4.8,4,4.3,3.5,4.3,3.9,3.8,3.8,3.7,3.7,4.7,4.5,5.1,4.3,4,4.2,3.7,3.5,5.6,4.5,4.6,4.5,3.5,3.9,5.3,3.3,2.7
