index,BAL,TBR,BOS,NYY,TOR,MIN,DET,CHW,KCR,CLE,LAA,OAK,TEX,HOU,SEA,LAD,SFG,ARI,COL,SDP,MIL,STL,CHC,CIN,PIT,NYM,WSN,ATL,PHI,MIA
56,4.7,4.5,5.2,4.3,4.7,4.2,4.3,4.7,2.7,5.7,5.9,5.6,3.5,6.2,4.5,4.7,4.9,3.7,4.5,2.6,4.1,2.7,3.6,5,3.7,2.5,3.4,4.3,4.5,3.5
57,4.8,4.6,5.1,4.5,4.8,4.1,4.4,4.5,2.9,5.3,6.5,5.8,3.5,6.6,4.2,4.4,4.8,3.5,4.5,2.9,4,2.6,3.6,4.8,3.2,2.7,3.2,4.1,4.6,4
58,4.9,4.5,5.2,4.5,4.7,4,4.1,4.1,3.3,5,6.8,5.3,3.5,6.3,4.6,4.4,4.7,3.1,4.2,3.2,4.1,3.1,3.3,4.6,3.1,2.6,4,3.9,5.1,4.6
59,4.7,4.2,4.9,4.7,4.9,4.1,4.1,4.1,3.4,4.6,6.2,5.3,3.6,6.8,4.5,4.3,5.1,3.1,4.2,3.5,4.1,2.8,3.3,5.2,3.2,2.5,3.9,3.5,4.3,4.1
60,3.6,4.1,5.1,4.9,5.1,4.5,4.7,4.1,3.4,4.9,5.9,4.7,3.7,6.6,4.8,4.3,5.3,3.5,4.4,3.8,4,2.8,3,5.1,3.5,2.4,4,3.6,4.1,4
61,2.9,4.2,4.9,5.1,5.3,4.3,4.7,3.9,3.6,4.6,5.5,4.5,4,7,4.9,4.1,5.3,3.5,4.3,4,4,2.5,3.2,5.1,3.8,2.3,4,3.6,4.2,3.9
62,2.9,4.3,4.9,4.8,5.7,4.4,4.5,4,3.2,5.1,5.2,5.3,4,7.3,4.4,4,5.2,3.5,4.5,4.3,4,2.5,3,4.6,3.7,2.2,4.3,3.6,4.2,3.7
63,3.1,4.1,5,4.3,5.6,4.5,4.2,3.8,3.1,5.3,5,5.2,4.3,6.8,4.3,4,5.5,3.5,4.5,3.9,3.9,2.3,2.9,3.9,3.9,2.5,4.5,3.5,3.9,4.2
64,3.1,3.9,4.5,4.1,5,4.6,4.1,3.9,3.3,5.1,5,5.3,4.6,6.6,4.3,3.4,5.7,3.9,4.5,4.1,4.1,2.1,2.5,4.3,3.6,2.6,4.5,3.4,3.7,3.7
65,3.2,4.5,4.7,3.9,5.4,4.5,4.1,3.4,3.5,4.7,4.8,5.2,4.8,6.5,4.3,3.8,5.7,4.2,4.1,4.8,3.9,2.1,2.1,3.9,3.5,2.5,5,3.1,4.1,3.5
66,3.6,4.5,4.9,4.6,5.2,4.6,4.3,4,3.4,4.4,4.5,5.3,4.3,6.1,4.7,3.7,5.7,4,4.1,4.7,4.5,2.6,2.3,4.1,3.5,2.9,4.9,3.9,4.1,3.4
67,4.3,4.2,5.1,4.7,5.8,4.7,4.3,4.4,3.3,3.9,4.9,4.9,4.2,5.9,4.6,3.7,5.6,3.9,4.5,5,4.5,2.5,2.2,4.3,3.5,3.4,5.2,3.9,4.3,3.9
68,4.2,4.3,5.4,4.7,5.9,4.9,4.5,4.7,3.4,3.4,5.1,4.8,4.5,5.5,4.8,3.7,5.7,3.9,4.7,4.9,5.5,2.9,2.5,4.2,3.6,3.3,5.3,3.3,4.1,3.7
