Type,BAL,TBR,BOS,NYY,TOR,MIN,DET,CHW,KCR,CLE,LAA,OAK,TEX,HOU,SEA,LAD,SFG,ARI,COL,SDP,MIL,STL,CHC,CIN,PIT,NYM,WSN,ATL,PHI,MIA
R.G,40.5,39.2,41.9,37.8,35.1,34.5,43.9,33.8,33.8,31.1,31.1,36.5,38.5,36.5,41.9,31.1,35.8,20.9,31.1,37.2,34.5,25.7,37.8,29.7,34.5,35.8,40.5,33.8,47.3,35.8
RA.G,56.8,63.5,68.2,65.5,70.9,61.5,73,67.6,70.3,68.9,66.2,77,72.3,75,69.6,67.6,76.4,78.4,70.3,66.9,68.9,73.6,58.8,69.6,68.2,59.5,63.5,66.9,68.9,67.6
